Model              TIME(t) ACC(t)  ERR(t)  ACC(v)  ERR(v)  Parameters
SYN2020-LUCID-p4   0.05742 0.98807 0.06904 0.99369 0.05024 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06323 0.98350 0.08425 0.99685 0.04642 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05670 0.98666 0.06924 0.99685 0.04626 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05820 0.98280 0.08392 0.99369 0.04763 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05850 0.98491 0.07711 0.99369 0.04706 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06135 0.98385 0.07960 0.99369 0.04719 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05832 0.98701 0.06877 0.99369 0.04659 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05786 0.98421 0.07641 0.99685 0.04668 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05761 0.98421 0.08202 0.99685 0.04661 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05772 0.98701 0.07089 0.99685 0.04871 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06435 0.98666 0.06675 0.99369 0.04689 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05793 0.98315 0.07862 0.99369 0.04711 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.35663 0.43208 0.68105 0.98423 0.63964 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05721 0.73991 0.63668 0.98423 0.55481 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05669 0.76167 0.57041 0.97792 0.44348 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05675 0.82204 0.49724 0.97792 0.36982 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.16032 0.85679 0.45994 0.98107 0.31561 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05697 0.89084 0.44207 0.99054 0.26921 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05563 0.92664 0.39495 0.99054 0.22226 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06044 0.93085 0.33640 0.99054 0.19546 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05646 0.92278 0.31629 0.99685 0.17488 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05621 0.91892 0.30054 0.99685 0.15818 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05576 0.92418 0.27065 0.99369 0.14498 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06074 0.91436 0.26132 0.99369 0.13589 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05753 0.93226 0.21534 0.99369 0.13064 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05745 0.95893 0.19371 0.99369 0.12868 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05592 0.96946 0.18107 0.99369 0.12476 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06028 0.97473 0.17650 0.99369 0.11630 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05678 0.98175 0.15344 0.99685 0.10563 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05697 0.97508 0.15115 0.99685 0.09604 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05702 0.97789 0.13266 0.99685 0.08847 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05935 0.97859 0.12231 0.99685 0.08283 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05724 0.97754 0.12484 0.99685 0.07833 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05769 0.97789 0.11888 0.99685 0.07475 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05664 0.97964 0.11032 0.99685 0.07295 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05567 0.98210 0.10694 0.99685 0.07066 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06087 0.98245 0.10096 0.99369 0.07270 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05657 0.97613 0.10757 0.99369 0.07449 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05637 0.97789 0.10816 0.99369 0.07382 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05671 0.98280 0.10641 0.99369 0.07395 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,09),m=min
